x: -0.00734068253506985, y: -0.02624565808707892, z: 0.2586097734295144
X-Angle: -3.1201496519919045, Y-Angle: 0.03233842950985063, Z-Angle: 0.033574127676926524
x: -0.009931110502623821, y: -0.021967792818558336, z: 0.2599744275363178
X-Angle: -3.1271698713772604, Y-Angle: 0.03191763937323909, Z-Angle: 0.029691846228488902
x: -0.013405059240791542, y: -0.017363584324101095, z: 0.261465853714641
X-Angle: -3.139320486433166, Y-Angle: 0.024931329939283795, Z-Angle: 0.01817595317799976
x: -0.015375521956213122, y: -0.012378470373623378, z: 0.2630957092220056
X-Angle: 3.1338999712788866, Y-Angle: 0.01958508850285813, Z-Angle: 0.0013395351520291642
x: -0.014797176403488667, y: -0.009293968961090481, z: 0.2628792108029551
X-Angle: 3.132177910991083, Y-Angle: 0.0279021010760909, Z-Angle: -0.005866337380266746
x: -0.016333733264771767, y: -0.004286927495623113, z: 0.2652142030182975
X-Angle: 3.121734528812167, Y-Angle: 0.026278153945490823, Z-Angle: 0.002320100403186278
x: -0.019370757793949544, y: 0.007540682049567406, z: 0.2695033164976453
X-Angle: 3.095887582588456, Y-Angle: 0.02542032115825802, Z-Angle: 0.028608296347411275
x: -0.018754645060313362, y: 0.007897890050252918, z: 0.268243132776363
X-Angle: 3.107577651083159, Y-Angle: 0.02016415846118117, Z-Angle: 0.021496750639810477
x: -0.02138272447962783, y: 0.013474119700426281, z: 0.271685494934354
X-Angle: 3.090360187908384, Y-Angle: 0.014320666907112756, Z-Angle: 0.015566901783293424
x: -0.021590968946311812, y: 0.013045806699978811, z: 0.27044025780418723
X-Angle: 3.1004337567306943, Y-Angle: 0.019716950469604897, Z-Angle: -0.0015553321310101903
x: -0.027911558404568937, y: 0.021794974034652678, z: 0.2721090076796042
X-Angle: 3.0875231917012416, Y-Angle: 0.011841614727766304, Z-Angle: 0.013880978666435728
x: -0.03182820128290282, y: 0.019471944815928722, z: 0.2680105855812319
X-Angle: 3.0920042244153345, Y-Angle: -0.0038125854177654176, Z-Angle: 0.009972656500476988
x: -0.031072568100291346, y: 0.020036696370540816, z: 0.26718714275992594
X-Angle: 3.0998666688740983, Y-Angle: -0.0021476584189385845, Z-Angle: 0.005614103347386835
x: -0.027216305170284845, y: 0.015087967617914609, z: 0.2632651805376051
X-Angle: 3.0948313386515958, Y-Angle: 0.007279868500467351, Z-Angle: -6.051011371570905e-05
x: -0.026919414390112067, y: 0.013722957555854844, z: 0.26375658186068124
X-Angle: 3.1123605748441787, Y-Angle: 0.004432291298079391, Z-Angle: 0.0007387822865961341
x: -0.023982687929543257, y: 0.012100805059931458, z: 0.2596098402052685
X-Angle: 3.107727087868369, Y-Angle: 0.015014411715116808, Z-Angle: -0.0011435057827601243
x: -0.021415356714250305, y: 0.010644180200643748, z: 0.2575512603455495
X-Angle: 3.112329238026796, Y-Angle: 0.01680182091633869, Z-Angle: -0.004972917571557614
x: -0.020023495046740742, y: 0.010868974342172556, z: 0.2581641276953922
X-Angle: 3.1334436318374674, Y-Angle: 0.022761068127419057, Z-Angle: 0.0015783964723171838
x: -0.01904693519920473, y: 0.01130382323926117, z: 0.2592476218427629
X-Angle: 3.11532032191288, Y-Angle: 0.021210041425365936, Z-Angle: 0.0063663980348885
x: -0.020157646983606795, y: 0.009805340283261065, z: 0.261726482288509
X-Angle: 3.113377511570489, Y-Angle: 0.022428097093974003, Z-Angle: 0.011088226257694015
x: -0.01930909542778511, y: 0.00634240478075507, z: 0.259672237516458
X-Angle: 3.1230935650773124, Y-Angle: 0.026195523039003746, Z-Angle: 0.016844587002361897
x: -0.016273841637839483, y: 0.004877594869267372, z: 0.25838983571973456
X-Angle: 3.123110189643341, Y-Angle: 0.02443803731135641, Z-Angle: 0.012405172499582137
x: -0.015941354949041073, y: 0.008774102823101914, z: 0.258654257292182
X-Angle: 3.123583088109082, Y-Angle: 0.02653999164322644, Z-Angle: 0.021426763050264228
x: -0.016746261697388232, y: 0.009419650075228315, z: 0.26006783664488575
X-Angle: 3.1207339318198515, Y-Angle: 0.02744329422274592, Z-Angle: 0.0246715307864401
x: -0.016282598736917016, y: 0.009159312404118276, z: 0.2593715721127809
X-Angle: 3.124628089448096, Y-Angle: 0.026335119365261662, Z-Angle: 0.02472810510930164
x: -0.016541032973026712, y: 0.010515318543190575, z: 0.2601237691928039
